"Question","Correct Answer","Wrong Answer 1","Wrong Answer 2","Wrong Answer 3","Wrong Answer 4","Wrong Answer 5"
"Une des valeurs de la devise républicaine est l'Égalité. Qu'est-ce que cela signifie ?","Tous les citoyens sont égaux devant la loi ","Tout le monde doit avoir le même salaire","Tout le monde doit avoir la même religion","Personne ne peut être plus riche qu'un autre","Les hommes ont plus de droits que les femmes","Les citoyens nés en France ont plus de droits"
"Une personne peut-elle changer librement de religion en France ?","Oui, chacun est libre de croire, ne pas croire ou changer ","Non, on garde sa religion de naissance","Oui, mais seulement à 18 ans","Oui, avec l'autorisation du préfet","Non, c'est interdit par la laïcité","Seulement pour devenir catholique"
"Que peut faire un usager du service public dans une mairie ?","Obtenir des actes d'état civil (naissance, mariage) ","Payer ses impôts sur le revenu","Passer son permis de conduire","Acheter des timbres fiscaux","Demander le divorce","Se faire soigner"
"En France, il est possible pour l'État de financer : [GS]","Les écoles privées sous contrat","La construction de nouvelles églises","Les salaires des prêtres et imams","Les partis politiques extrémistes","Les vacances de tous les citoyens","La construction de mosquées"
"En quelle année la loi de séparation des Églises et de l'État a-t-elle été votée ?","1905 ","1789","1881","1945","1958","2004"
"Que dit la loi de 1905 ?","Elle sépare les Églises de l'État ","L'école est obligatoire","La France est une monarchie","Les femmes ont le droit de vote","La peine de mort est abolie","Les syndicats sont autorisés"
"Que garantit le principe de laïcité ?","La liberté de conscience et le libre exercice des cultes ","L'interdiction de toute religion","L'obligation d'être athée","La surveillance des croyants","La fermeture des lieux de culte","La promotion du catholicisme"
"Quel jour célèbre-t-on officiellement la laïcité en France ? [GS]","Le 9 décembre","Le 14 juillet","Le 1er mai","Le 11 novembre","Le 8 mai","Le 1er janvier"
"Que signifie le mot “fraternité” dans la devise française ?","La solidarité entre les citoyens ","L'obligation d'aimer tout le monde","Avoir des frères et sœurs","Appartenir à une même famille biologique","Vivre en communauté fermée","Partager son salaire avec ses voisins"
"Selon la Constitution, la France est une République…","Indivisible, laïque, démocratique et sociale ","Monarchique et catholique","Fédérale et libérale","Autoritaire et militaire","Religieuse et conservatrice","Communiste et populaire"
"Selon le principe de laicité, que signifie la neutralité de l’État ?","L'État ne salarie ni ne subventionne aucun culte et assure la liberté de conscience ","L'État combat les religions","L'État ignore les citoyens religieux","Les agents publics peuvent porter des signes religieux","Les religions sont interdites dans la rue","L'État finance toutes les religions à égalité"
"Quel symbole religieux peut être porté dans une école publique dans le respect de la laïcité ?","Aucun signe ostensible (très visible) n'est autorisé ","Une grande croix","Un voile","Une kippa","Un turban","Un chapeau traditionnel"
"Quel terme désigne précisément la haine ou les préjugés contre les Juifs ? [GS]","L'antisémitisme","Le racisme","La xénophobie","L'islamophobie","Le sexisme","L'homophobie"
"Quel texte est considéré comme le texte fondateur de la laïcité ?","La loi de 1905 ","La Déclaration des droits de l'homme de 1789","Le Code civil de 1804","La Constitution de 1958","L'Édit de Nantes","Le Traité de Rome"
"Quelle institution française doit rester neutre en matière de religion ?","L'école publique et l'État ","Les entreprises privées","Les associations sportives","Les partis politiques","Les familles","Les commerces"
"Qu'est-ce que la laïcité ?","Les affaires religieuses et les affaires publiques sont clairement séparées ","L'interdiction des religions en France","Une religion d'État","L'obligation de croire en Dieu","La tolérance uniquement envers les chrétiens","Le financement des cultes par l'État"
"À l'école, la charte de la laïcité permet de : [GS]","Comprendre les règles du vivre-ensemble et de neutralité à l'école","Interdire aux élèves de parler de religion","Obliger les élèves à manger de la viande","Apprendre le catéchisme","Sélectionner les élèves selon leur religion","Prier dans la cour de récréation"
"Qui doit respecter et veiller à la neutralité religieuse dans les services publics ?","L'État et ses agents ","Les usagers du service public","Uniquement les chefs de service","Les prêtres et imams","Les policiers uniquement","Les enfants uniquement"
"Une personne déclare ne croire en aucun dieu. On peut dire :","C'est son droit, la République respecte le fait de ne pas croire ","C'est interdit, il faut avoir une religion","Elle doit se faire recenser comme athée","Elle ne peut pas être française","C'est une obligation pour être fonctionnaire","Elle doit payer une taxe spéciale"
"Comment est désigné le Premier ministre ?","Il est nommé par le Président de la République ","Il est élu directement par le peuple","Il est choisi par le Sénat","Il est tiré au sort","Il est élu par les maires","Il s'autoproclame chef"
"Qui peut se présenter aux élections présidentielles ?","Tout citoyen français remplissant les conditions légales (500 signatures...) ","N'importe quel citoyen du monde","Uniquement les députés","Uniquement les personnes nées en France","Toute personne riche","Les préfets uniquement"
"À qui appartient la souveraineté nationale ?","Au peuple ","Au Président seul","Aux juges","À l'Union européenne","Aux militaires","Aux personnes les plus riches"
"Qui est élu lors des élections municipales ?","Le maire et les conseillers municipaux ","Le député","Le préfet","Le président de région","Le sénateur","Le juge de paix"
"L'inscription sur les listes électorales est : [GS]","Automatique à 18 ans (ou volontaire si changement)","Payante","Interdite aux chômeurs","Facultative et déconseillée","Réservée aux propriétaires","Automatique à la naissance"
"Quelle condition est nécessaire pour voter aux élections présidentielles ?","Être un citoyen français âgé de 18 ans et jouir de ses droits civiques ","Être marié","Avoir un travail","Payer des impôts","Savoir lire et écrire parfaitement","Être né en métropole"
"Quelle condition faut-il remplir pour être candidat aux élections municipales ?","Être citoyen (français ou UE) et avoir la qualité d'électeur ","Être né dans la commune","Avoir plus de 30 ans","Être propriétaire dans la commune","Parler anglais","Avoir un casier judiciaire vierge"
"Parmi ces autorités, laquelle est élue ?","Le Président de la République ","Le Préfet","Le Procureur de la République","Le Commissaire de police","L'Instituteur","Le Recteur d'académie"
"Quelles sont les fonctions du maire ?","Administrer la commune, tenir l'état civil, écoles ","Voter les lois nationales","Juger les délits","Commander l'armée","Gérer les universités","Nommer les ministres"
"Une personne, n'ayant pas d'accès à internet, veut s'inscrire sur les listes électorales. Où peut-elle s'inscrire ? [GS]","À la mairie","Au commissariat de police","À la poste","Au tribunal","À la préfecture uniquement","Dans une école"
"À quel âge peut-on devenir électeur ?","18 ans ","16 ans","21 ans","25 ans","15 ans","30 ans"
"En France, est-ce obligatoire de voter ?","Non, c'est un droit et un devoir civique (moral) ","Oui, sous peine d'amende","Oui, pour les hommes seulement","Oui, sauf si on est malade","Oui, pour les élections présidentielles seulement","Non, c'est déconseillé"
"A-t-on le droit de ne pas respecter une loi ?","Non, tout citoyen doit la respecter ","Oui, si on n'est pas d'accord","Oui, si personne ne nous voit","Oui, si la loi est ancienne","Oui, si on est riche","Oui, le dimanche"
"Comment sont désignés les députés ?","Élus au suffrage universel ","Ils sont nommés par le Président","Ils sont tirés au sort","Ils héritent de leur poste","Ils sont élus par les maires","Ils sont choisis par les syndicats"
"Qui vote les lois ?","Le Parlement (Assemblée nationale et Sénat) ","Le Président de la République seul","Le gouvernement seul","Le Conseil Constitutionnel","Les citoyens par SMS","Les juges"
"La séparation des pouvoirs est un principe fondamental. Quels sont les trois pouvoirs concernés ?","Législatif, exécutif, judiciaire ","Militaire, religieux, civil","Médiatique, économique, politique","National, régional, communal","Présidentiel, ministériel, préfectoral","Policier, judiciaire, pénitentiaire"
"Qu'est-ce que l'État de droit ?","Le pouvoir politique est soumis à la loi ","Un État dirigé par des avocats","Un État où la police a tous les droits","Un État sans Constitution","Un État où le Président décide de tout","Un État où seuls les riches votent"
"Quelles sont les durées du mandat du conseil municipal et du maire ?","6 ans ","5 ans","4 ans","7 ans","3 ans","10 ans"
"Qui est élu lors des élections législatives ?","Les députés ","Les sénateurs","Les maires","Les conseillers régionaux","Le Président de la République","Les préfets"
"Quelle est la durée du mandat du Président de la République française ?","Cinq ans ","7 ans","4 ans","6 ans","10 ans","Vie"
"Quelle est la durée du mandat des députés ?","Cinq ans ","6 ans","4 ans","3 ans","7 ans","2 ans"
"Quelle est la durée du mandat des sénateurs ?","6 ans ","5 ans","4 ans","7 ans","9 ans","3 ans"
"Qui dirige l'action du gouvernement ?","Le Premier ministre ","Le Président de l'Assemblée","Le Ministre de l'Intérieur","Le Président du Sénat","Le Maire de Paris","Le Général des armées"
"En France, est-ce possible d'adhérer à un parti politique ?","Oui, librement ","Non, c'est interdit","Oui, mais un seul parti autorisé","Oui, avec accord de la police","Seulement pour les élus","Non, sauf pour les syndicats"
"Qui sanctionne l'auteur d'un vol ?","La Justice (les juges) ","La Police seule","Le Maire","La victime","Le Préfet","Les voisins"
"Qui gère les collèges publics ?","Le département ","La commune","La région","L'État seul","L'Europe","Les parents d'élèves"
"Qui gère les écoles primaires et maternelles publiques ?","La commune ","Le département","La région","L'État uniquement","Le directeur d'école","Les associations"
"Comment sont désignés les maires ?","Élus par le conseil municipal ","Nommés par le Préfet","Élus au suffrage universel direct","Tirés au sort","Choisis par le député","Héréditaires"
"Quelle collectivité territoriale est responsable des transports régionaux ?","La région ","Le département","La commune","L'État","L'Europe","La SNCF seule"
"Quelle est l'une des voies possibles pour modifier la Constitution ?","Le référendum ","Une décision du Premier ministre","Une pétition en ligne","Un décret présidentiel","Une grève générale","L'avis des sondages"
"Qui assure l'intérim du président de la République en cas de décès ? [GS]","Le Président du Sénat","Le Premier ministre","La femme du Président","Le Président de l'Assemblée","Le Ministre de l'Intérieur","Le chef des armées"
"Quel est le rôle du Conseil constitutionnel ?","Vérifier la conformité des lois à la Constitution ","Juger les criminels","Voter les lois","Nommer les ministres","Diriger l'armée","Organiser les élections locales"
"Quelle condition est obligatoire pour se présenter à l'élection présidentielle ? [GS]","Avoir la nationalité française","Être né en France","Parler 3 langues","Être marié","Avoir fait l'armée","Être propriétaire"
"Combien y a-t-il de départements en France ?","101 départements ","96","13","22","50","200"
"Comment est organisé le découpage administratif de la France ?","Communes, départements, régions ","Villes, états, pays","Cantons, provinces, royaumes","Villages, comtés, duchés","Districts, zones, secteurs","Quartiers, arrondissements, cercles"
"Qui représente l'État dans un département ?","Le Préfet ","Le Maire","Le Député","Le Président du Conseil départemental","Le Juge","Le Commissaire"
"Quel est le rôle du Président de la République ?","Il nomme le gouvernement et préside le pays ","Il écrit toutes les lois","Il juge les procès","Il dirige les mairies","Il fixe les prix des magasins","Il choisit les députés"
"Quel est le rôle du Premier ministre ?","Il dirige l'action du Gouvernement ","Il vote les lois","Il juge les ministres","Il commande l'armée","Il remplace le Roi","Il gère l'Elysée"
"Quel est le rôle du Défenseur des droits ? [GS]","Défendre les droits des citoyens face à l'administration","Défendre la France en guerre","Défendre le Président","Défendre les entreprises","Défendre les criminels","Défendre les valeurs religieuses"
"En quelle année la citoyenneté européenne a-t-elle été créée ?","1992 (Traité de Maastricht) ","1957","1945","2002","1989","2010"
"Qui a composé l'hymne de l'Union européenne ? [GS]","Beethoven (Ode à la joie)","Mozart","Chopin","Wagner","Berlioz","Vivaldi"
"Quand est célébrée la journée de l'Europe ? [GS]","Le 9 mai","Le 14 juillet","Le 8 mai","Le 11 novembre","Le 25 décembre","Le 1er janvier"
"Où est le siège de la Banque centrale européenne ? [GS]","Francfort (Allemagne)","Paris","Londres","Bruxelles","Strasbourg","Genève"
"Où est le siège de la Commission européenne ? [GS]","Bruxelles (Belgique)","Strasbourg","Luxembourg","Paris","Berlin","Rome"
"Qui siège au Parlement européen ?","Les députés européens élus ","Les ministres des pays","Les présidents des pays","Les juges européens","Les préfets","Les ambassadeurs"
"Combien d'États font partie de l'Union européenne au 1er janvier 2025 ?","27 États membres ","28 États membres","15 États membres","12 États membres","6 États membres","50 États membres"
"En quelle année le traité de Maastricht, qui marque la fondation de l'Union européenne, a-t-il été signé ?","1992 ","1957","2000","1945","1986","1974"
"Quel traité concerne la construction de l'Union européenne ?","Traité de Rome (1957) ","Traité de Versailles","Traité de Paris (1763)","Traité de Tordesillas","Traité de Verdun","Traité de Vienne"
"Quel État a quitté l'Union Européenne en 2020 ? [GS]","Le Royaume-Uni (Brexit)","La France","L'Allemagne","L'Italie","L'Espagne","La Grèce"
"Quel est l'hymne de l'Union Européenne ? [GS]","L'Ode à la joie","La Marseillaise","God Save the Queen","L'Internationale","Le Chant des Partisans","Frère Jacques"
"De quoi est composé le drapeau européen ?","12 étoiles d'or sur fond bleu ","Une croix blanche sur fond rouge","Des bandes bleues et blanches","Un aigle noir sur fond jaune","27 étoiles sur fond vert","Un cercle rouge sur fond blanc"
"Qui élit les députés européens ?","Les citoyens européens au suffrage universel ","Les gouvernements nationaux","La Commission européenne","Les parlements nationaux","Le Conseil de l'Europe","Les maires"
"Où est le siège du Parlement européen ? [GS]","Strasbourg (France)","Bruxelles uniquement","Luxembourg","Francfort","La Haye","Genève"
"Quel est le dernier Etat à avoir intégré l’Union Européenne en 2013 ? [GS]","La Croatie","La Turquie","L'Ukraine","La Suisse","La Norvège","L'Islande"
"Les citoyens de l'Union européenne peuvent-ils voter aux élections locales dans un autre État de l’Union ?","Oui, aux élections municipales ","Non, jamais","Oui, à toutes les élections","Uniquement s'ils sont naturalisés","Oui, mais sans être élu","Seulement s'ils paient des impôts"
"Quelle est la devise de l’Union européenne ? [GS]","Unie dans la diversité","Liberté, Égalité, Fraternité","L'union fait la force","Dieu et mon droit","In God We Trust","Ordre et Progrès"
"À quoi sert le droit de grève ? [GS]","À défendre ses droits et intérêts professionnels","À ne pas travailler sans raison","À bloquer le pays pour le plaisir","À renverser le gouvernement","À prendre des vacances supplémentaires","À ne pas payer ses factures"
"Au nom de quoi l'État justifie-t-il la restriction des droits ?","Pour préserver l'ordre public ","Pour faire des économies","Pour contrôler la population","Pour interdire la religion","Pour limiter la liberté de la presse","Pour rien, c'est arbitraire"
"Laquelle de ces citations est inscrite dans la Déclaration des Droits de l'Homme et du Citoyen de 1789 ?","Les hommes naissent et demeurent libres et égaux en droits ","Tous les hommes sont frères","La propriété c'est le vol","L'Etat c'est moi","Vivre libre ou mourir","La liberté est un combat"
"L'article 4 de la Déclaration des droits de l'homme et du citoyen affirme que la liberté consiste à pouvoir faire tout ce qui ne nuit pas à autrui. Qu'est-ce que cela signifie ?","L'exercice des droits de chacun a pour bornes celles des autres ","Je peux faire tout ce que je veux","Les autres n'ont aucun droit","La loi ne sert à rien","Je suis libre de nuire si je veux","La liberté est totale et absolue"
"Que dit l'article 1er de la Constitution française ?","La France est une République indivisible, laïque, démocratique et sociale ","La France est une monarchie constitutionnelle","La France est un pays catholique","Le français est la langue du monde","Paris est la capitale de l'Europe","Le Président a tous les pouvoirs"
"Que garantit la liberté de la presse ?","Le droit de parler, écrire, imprimer librement ","Le droit de mentir","Le droit d'insulter les gens","L'obligation d'acheter le journal","Le contrôle des médias par l'État","L'interdiction de critiquer le gouvernement"
"Que permet la liberté de circulation ?","Le droit de circuler librement ","Le droit de conduire sans permis","Le droit d'entrer chez les gens sans autorisation","Le droit de ne pas payer le train","Le droit de rouler à gauche","Le droit de voyager sans passeport hors UE"
"Que signifie être citoyen d'un État ?","Avoir des droits et des devoirs particuliers (vote, défense...) ","Habiter simplement dans le pays","Avoir un passeport pour voyager","Payer des impôts seulement","Parler la langue du pays","Aimer la cuisine du pays"
"Que sont les droits fondamentaux ?","Des droits garantis à tout être humain (liberté, sûreté...) ","Des droits réservés aux riches","Des privilèges pour les élus","Des règles pour les entreprises","Des droits temporaires","Des droits vendus par l'État"
"Quel droit protège une personne contre une arrestation arbitraire ?","Nul ne peut être accusé, arrêté ni détenu que selon la loi ","La liberté de la presse","Le droit de propriété","Le droit de vote","La fraternité","L'égalité"
"Quel est le texte fondateur établissant les droits et les devoirs de chaque citoyen ?","La Déclaration des droits de l'homme et du citoyen ","Le Code de la route","Le règlement intérieur de l'école","La Bible","Le contrat de travail","Le journal officiel"
"Quel texte affirme que tous les hommes naissent libres et égaux en droits ?","La Déclaration des droits de l'homme et du citoyen de 1789 ","Le Code Civil","La Charte de l'ONU","Le Traité de Versailles","La Constitution de 1958","Les Dix Commandements"
"Quelle situation est une atteinte à la dignité humaine ?","Toute atteinte au corps humain ou à la personne ","Le travail de nuit","Le paiement d'impôts","L'obligation scolaire","La vaccination","Le port de l'uniforme"
"Qu'est-ce que la liberté d'expression ?","Tout citoyen peut parler, écrire, imprimer librement (sauf abus légaux) ","Le droit d'insulter son voisin","Le droit de diffamer","Le droit d'inciter à la haine","Le droit de mentir au tribunal","Le droit de menacer de mort"
"Suite à une interpellation par la police, il est possible de :","Être placé en garde à vue (selon la loi) ","Être envoyé en prison sans jugement","Être banni du pays immédiatement","Perdre sa nationalité","Être forcé à travailler","Payer une amende au policier directement"
"Tous les citoyens français ont-ils une religion ?","Non, chacun est libre de croire ou ne pas croire ","Oui, c'est obligatoire","Oui, ils sont tous catholiques","Non, la religion est interdite","Oui, sauf les fonctionnaires","Oui, déclarée sur la carte d'identité"
"À quel âge est la majorité numérique en France ? [GS]","15 ans","18 ans","13 ans","21 ans","10 ans","16 ans"
"Dans lequel de ces endroits est-on autorisé à fumer ? [GS]","Dans la rue (sauf arrêté spécifique)","Dans un hôpital","Dans une école","Dans un restaurant","Dans une gare fermée","Dans un bus"
"En France, la conduite sans permis d'une moto est : [GS]","Un délit puni par la loi","Autorisée le week-end","Autorisée si on a un casque","Tolérée à la campagne","Autorisée pour les moins de 25 ans","Une simple impolitesse"
"En quoi consiste le devoir de solidarité ?","Contribuer au financement de la protection sociale ","Aider ses voisins à déménager","Donner de l'argent aux mendiants","Héberger des inconnus","Nettoyer la rue","Prêter sa voiture"
"Est-ce légal d'être marié à plusieurs personnes en même temps ? [GS]","Non, la polygamie est interdite en France","Oui, jusqu'à 4 personnes","Oui, si le conjoint est d'accord","Oui, pour les étrangers seulement","Oui, dans certaines régions","Oui, si on est riche"
"Est-ce obligatoire de déclarer ses impôts chaque année en France ?","Oui, déclarer ses revenus est obligatoire ","Non, seulement si on veut","Non, c'est automatique","Seulement les années bissextiles","Non, si on gagne peu","Seulement pour les entreprises"
"Est-il obligatoire de porter secours à une personne en danger ? [GS]","Oui, la non-assistance à personne en danger est un délit","Non, c'est facultatif","Seulement si c'est un ami","Non, si on est pressé","Seulement pour les médecins","Non, sauf pour les pompiers"
"Etre juré d'assises est :","Un devoir civique ","Un métier rémunéré","Un choix personnel","Réservé aux avocats","Une punition","Interdit aux femmes"
"La vente d'alcool en France est interdite aux personnes de moins de : [GS]","18 ans","16 ans","21 ans","14 ans","12 ans","25 ans"
"Le non-respect du code de la route est :","Une infraction sanctionnée ","Autorisé la nuit","Une liberté fondamentale","Pas grave","Autorisé pour les vélos","Toléré si on travaille"
"Lequel de ces crimes ou délits peut entrainer la privation des droits civils et politiques par un juge ?","Un crime grave ou acte contraire aux intérêts fondamentaux ","Un excès de vitesse","Un retard d'impôts","Le vol d'une pomme","Fumer dans la rue","Chanter la nuit"
"Pour obtenir une carte d'identité, il faut : [GS]","Être de nationalité française","Être riche","Avoir un passeport","Avoir le permis","Parler anglais","Être propriétaire"
"Pour quel motif peut-on limiter la liberté d'expression ?","Pour trouble à l'ordre public, injures, haine raciale ","Pour critique du gouvernement","Pour opinion religieuse","Pour faute d'orthographe","Pour parler trop fort","Pour désaccord avec le maire"
"Que doit faire un citoyen s'il est appelé à être juré dans un procès d'assises ?","Il a le devoir de participer ","Il peut refuser s'il n'a pas envie","Il doit payer pour participer","Il doit être avocat","Il doit connaître l'accusé","Il peut se faire remplacer par un ami"
"Quel est l'âge de la majorité civile en France ?","18 ans ","21 ans","16 ans","15 ans","25 ans","14 ans"
"Quel est l'un des devoirs principaux d'un citoyen français ?","Respecter la loi ","Avoir une voiture","Acheter une maison","Aller à la messe","Adhérer à un parti","Faire du sport"
"Quelle est l'infraction la plus grave ? [GS]","Le crime","La contravention","Le délit","L'incivilité","La bêtise","L'erreur"
"Qu'est-ce que la citoyenneté numérique ? [GS]","Le civisme en ligne (respect des règles sur internet)","Avoir un ordinateur","Savoir coder","Avoir un compte Facebook","Payer ses impôts en ligne","Jouer aux jeux vidéo"
"Qu'est-ce que le devoir de mémoire ?","Se souvenir des événements tragiques de l'histoire ","Apprendre ses leçons par cœur","Se souvenir de son enfance","N'oublier aucun rendez-vous","Faire des photos","Écrire ses mémoires"
"Qui peut être appelé à faire partie d'un jury d'assises en France ?","Tout citoyen français tiré au sort ","Les juges uniquement","Les policiers uniquement","Les bénévoles","Les personnes condamnées","Les experts"
"Une personne est privée de ses droits civils et politiques pendant 5 ans suite à une condamnation. Parmi ces propositions laquelle est correcte ? Pendant 5 ans,... [GS]","Elle ne peut pas voter ni être élue","Elle ne peut pas travailler","Elle ne peut pas se marier","Elle ne peut pas avoir d'enfants","Elle doit quitter la France","Elle ne peut pas aller à l'hôpital"
"Parmi ces textes, lequel a été adopté sous Napoléon Ier ?","Le Code civil ","La Déclaration des Droits de l'Homme","La Constitution de 1958","L'Édit de Nantes","La loi de 1905","Le traité de Rome"
"Qui a été président de la Ve République ?","Charles de Gaulle ","Napoléon","Louis XIV","Jules Ferry","Victor Hugo","Jeanne d'Arc"
"Quel est l’objectif des lois scolaires de la IIIe République ?","Rendre l'enseignement public gratuit, laïque et obligatoire ","Interdire l'école aux filles","Rendre l'école payante","Enseigner la religion à l'école","Supprimer les écoles","Militariser les enfants"
"Que signifie la date du 14 juillet pour les Français ?","La prise de la Bastille et la fête de la Fédération ","La fin de la guerre","La mort du roi","La naissance de Napoléon","La création de l'Euro","La victoire en Coupe du monde"
"Pourquoi l'année 1958 est importante pour la France ?","Adoption de la Constitution de la Ve République ","Fin de la guerre d'Algérie","Vote des femmes","Loi sur la laïcité","Victoire de 1918","Chute du mur de Berlin"
"Lequel de ces pays est un pays fondateur de l'Union Européenne ?","La France ","Le Royaume-Uni","L'Espagne","La Pologne","La Suède","La Grèce"
"Simone Veil est une figure importante de l’histoire française. Elle a notamment :","Préparé la loi sur l'interruption volontaire de grossesse ","Été la première présidente de la République","Inventé le vaccin contre la rage","Découvert le radium","Écrit les Misérables","Commandé les armées en 14-18"
"Dans quelle région est située une partie des plages du débarquement ayant permis d'engager la libération de la France ?","En Normandie ","En Bretagne","En Provence","En Alsace","En Corse","Dans le Nord"
"Dans quelle ville les rois de France étaient-ils couronnés ? [GS]","Reims","Paris","Versailles","Lyon","Marseille","Orléans"
"Quel roi de France a été guillotiné pendant la Révolution française ? [GS]","Louis XVI","Louis XIV","Henri IV","François 1er","Napoléon","Charlemagne"
"En quelle année a débuté la Révolution française ?","1789 ","1792","1804","1848","1905","1944"
"En quelle année Napoléon Ier est-il devenu empereur ? [GS]","1804","1789","1815","1848","1900","1799"
"Lequel de ces personnages a un lien avec la République française ?","Marianne ","Astérix","Tintin","Mickey","Superman","Sherlock Holmes"
"De quand date l'appel à la résistance du général de Gaulle ? [GS]","18 juin 1940","14 juillet 1789","11 novembre 1918","8 mai 1945","1er mai 1968","9 mai 1950"
"Qu'est-ce que la Shoah ?","L'extermination des Juifs par les nazis ","Une bataille de Napoléon","Un traité de paix","Une fête religieuse","Un mouvement artistique","Une loi française"
"Quel pays a été une colonie française ?","L'Algérie ","L'Allemagne","L'Angleterre","L'Espagne","L'Italie","La Russie"
"Qui a rendu l'école gratuite, laïque et obligatoire ?","Jules Ferry ","Napoléon","Louis XIV","De Gaulle","Mitterrand","Chirac"
"Depuis quand les Français élisent-ils le président de la République au suffrage universel direct ? [GS]","1962","1958","1945","1848","1789","1981"
"En quelle année l'Union européenne a-t-elle été fondée ?","1992 (création de l'UE) ","1957","1945","2002","1980","2010"
"Quand a eu lieu la Seconde guerre mondiale ?","1939-1945 ","1914-1918","1870-1871","1954-1962","1990-1991","1789-1799"
"Quand a eu lieu la Première guerre mondiale ?","1914-1918 ","1939-1945","1870-1871","1900-1904","1950-1954","1800-1815"
"Sous quel président a été abolie la peine de mort en France ? [GS]","François Mitterrand (en 1981)","Valéry Giscard d'Estaing","Georges Pompidou","Charles de Gaulle","Jacques Chirac","Nicolas Sarkozy"
"Que célèbre-t-on le 8 mai ?","La fin de la Seconde Guerre mondiale ","La fête du travail","L'armistice de 1918","La Toussaint","Noël","Pâques"
